,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
5548,2021-03-21,21.25,3,#933e18,\xe5c4c41194901047523108bb47eb109781a1a86a,\x9de1647afcb83e02a55ff45cdb2d3a908cb44813,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5549,2021-04-07,14.99,3,#933e18,\x9de1647afcb83e02a55ff45cdb2d3a908cb44813,\xe281b9d3de7a5b178961f38a4a31f1a6447304d8,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5550,2021-05-03,23.0,3,#933e18,\xe281b9d3de7a5b178961f38a4a31f1a6447304d8,\x77a1a28f8246da0e919a02a79479bc1591253530,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5552,2021-08-18,43.98,3,#933e18,\x39bd1e912f687909a129049a52c8d5fe920df907,\x3889a7996ef845fe35105b3ef8b0182fd3c253d6,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5553,2021-12-23,52.0,3,#933e18,\x3889a7996ef845fe35105b3ef8b0182fd3c253d6,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5554,2021-12-24,63.95,3,#933e18,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,\x71710e1a6b5e5440f2822577698955aff74fd831,5254,https://www.larvalabs.com/cryptopunks/cryptopunk5254.png,Dark
5559,2021-07-31,30.0,4,#933e18,\xa5c80be2c4d2dca26c3cba2cd9d4a3c4cf3212ea,\xc5ee5b961bf790970f550fc3adee548f6ecc44e4,9608,https://www.larvalabs.com/cryptopunks/cryptopunk9608.png,Dark
5560,2021-08-23,59.0,4,#933e18,\xc5ee5b961bf790970f550fc3adee548f6ecc44e4,\xc404dd1cd172aef530db7992c2e1303f3f4d33c4,9608,https://www.larvalabs.com/cryptopunks/cryptopunk9608.png,Dark
5561,2022-01-20,63.9,4,#933e18,\x579141c6e5afcd2f312542f4d87ac9a2edc45d2c,\x58dc71f3b3b52b271d4aa5e531086abcf1a1e288,9608,https://www.larvalabs.com/cryptopunks/cryptopunk9608.png,Dark
5568,2021-01-12,4.89,3,#f6773d,\xbf6ccf49cc2874f01916d747a8fe97f14a082be0,\x1f5a39931bfcf3ed01fd2d33febb1aa385e26a0c,6160,https://www.larvalabs.com/cryptopunks/cryptopunk6160.png,Light
5569,2021-08-18,48.5,3,#f6773d,\x1f5a39931bfcf3ed01fd2d33febb1aa385e26a0c,\x15f7320adb990020956d29edb6ba17f3d468001e,6160,https://www.larvalabs.com/cryptopunks/cryptopunk6160.png,Light
5570,2021-08-22,72.5,3,#f6773d,\x15f7320adb990020956d29edb6ba17f3d468001e,\xe35c3d08163da9bd4efa00879a78504d69820b5c,6160,https://www.larvalabs.com/cryptopunks/cryptopunk6160.png,Light
5571,2021-08-28,142.69,3,#f6773d,\xe35c3d08163da9bd4efa00879a78504d69820b5c,\x9f586e4dfe9f41c00440b19d6b2814c4d753e953,6160,https://www.larvalabs.com/cryptopunks/cryptopunk6160.png,Light
