punk_id,type,gender,skin_tone,attr_count,attributes,img_dir,avg_price,img_url
39,Human,Male,Light,3,"['Frown', 'Shaved Head', 'Regular Shades']",../punk_imgs/39.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk39.png
40,Human,Male,Light,3,"['Bandana', 'Chinstrap', 'Smile']",../punk_imgs/40.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk40.png
41,Human,Male,Dark,3,"['Muttonchops', 'Wild Hair', 'Clown Eyes Green']",../punk_imgs/41.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk41.png
42,Human,Female,Dark,2,"['Wild Hair', 'Cigarette']",../punk_imgs/42.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk42.png
43,Human,Female,Medium,1,['Half Shaved'],../punk_imgs/43.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk43.png
44,Human,Male,Light,1,['Messy Hair'],../punk_imgs/44.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk44.png
45,Human,Male,Medium,2,"['Earring', 'Mole']",../punk_imgs/45.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk45.png
46,Human,Female,Medium,2,"['Purple Lipstick', 'Straight Hair Dark']",../punk_imgs/46.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk46.png
47,Human,Male,Dark,1,['Knitted Cap'],../punk_imgs/47.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk47.png
48,Human,Male,Light,2,"['Big Shades', 'Mohawk']",../punk_imgs/48.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk48.png
49,Human,Female,Dark,2,"['Bandana', 'Purple Eye Shadow']",../punk_imgs/49.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk49.png
50,Human,Male,Medium,2,"['Spots', 'Fedora']",../punk_imgs/50.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk50.png
51,Human,Male,Medium,3,"['Muttonchops', 'Wild Hair', 'Earring']",../punk_imgs/51.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk51.png
52,Human,Male,Dark,4,"['Shadow Beard', 'Earring', 'Nerd Glasses', 'Knitted Cap']",../punk_imgs/52.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk52.png
53,Human,Female,Light,2,"['Big Shades', 'Straight Hair']",../punk_imgs/53.png,57.330000000000005,https://www.larvalabs.com/cryptopunks/cryptopunk53.png
54,Human,Male,Dark,1,['Hoodie'],../punk_imgs/54.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk54.png
55,Human,Male,Light,1,['Eye Patch'],../punk_imgs/55.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk55.png
56,Human,Male,Dark,1,['Shaved Head'],../punk_imgs/56.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk56.png
57,Human,Male,Light,1,['Headband'],../punk_imgs/57.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk57.png
