punk_id,type,gender,skin_tone,count,accessories,img_dir
82, Human, Male, Albino,1, Headband,./imgs/82.png
83, Human, Male, Light,3, Vape / Shaved Head / Small Shades,./imgs/83.png
84, Human, Male, Light,3, Messy Hair / Big Shades / Earring,./imgs/84.png
85, Human, Female, Dark,1, Crazy Hair,./imgs/85.png
86, Human, Female, Dark,4, Knitted Cap / Green Eye Shadow / Hot Lipstick / Earring,./imgs/86.png
87, Human, Male, Light,2, Hoodie / Earring,./imgs/87.png
88, Human, Female, Light,2, Cap / Hot Lipstick,./imgs/88.png
89, Human, Female, Dark,1, Choker,./imgs/89.png
90, Human, Male, Medium,2, Hoodie / Eye Patch,./imgs/90.png
91, Human, Female, Light,2, Clown Nose / Straight Hair,./imgs/91.png
92, Human, Female, Light,3, Pink With Hat / Purple Lipstick / Nerd Glasses,./imgs/92.png
93, Human, Female, Light,1, Bandana,./imgs/93.png
94, Human, Female, Dark,3, Pink With Hat / Regular Shades / Earring,./imgs/94.png
95, Human, Male, Medium,2, Earring / Mohawk,./imgs/95.png
96, Human, Female, Light,1, Blonde Bob,./imgs/96.png
97, Human, Male, Medium,1, Wild Hair,./imgs/97.png
98, Human, Female, Light,3, Black Lipstick / Welding Goggles / Dark Hair,./imgs/98.png
99, Human, Male, Medium,2, Cigarette / Hoodie,./imgs/99.png
100, Human, Female, Medium,1, Tassle Hat,./imgs/100.png
101, Human, Male, Medium,2, Police Cap / Nerd Glasses,./imgs/101.png
102, Human, Male, Medium,2, Vampire Hair / Luxurious Beard,./imgs/102.png
103, Human, Female, Dark,3, Black Lipstick / Green Eye Shadow / Blonde Bob,./imgs/103.png
104, Human, Male, Dark,4, Normal Beard Black / Earring / Crazy Hair / Eye Patch,./imgs/104.png
105, Human, Male, Light,1, Mohawk Thin,./imgs/105.png
106, Human, Female, Light,1, Straight Hair Blonde,./imgs/106.png
107, Human, Male, Medium,1, Headband,./imgs/107.png
108, Human, Female, Light,2, Black Lipstick / Headband,./imgs/108.png
109, Human, Male, Dark,3, Handlebars / Fedora / Earring,./imgs/109.png
110, Human, Female, Dark,4, Purple Lipstick / Earring / Mohawk Dark / Cigarette,./imgs/110.png
111, Human, Male, Dark,2, Handlebars / Knitted Cap,./imgs/111.png
112, Human, Male, Medium,4, Bandana / Earring / Horned Rim Glasses / Big Beard,./imgs/112.png
113, Human, Male, Albino,1, Mohawk,./imgs/113.png
114, Human, Female, Dark,1, Red Mohawk,./imgs/114.png
115, Human, Female, Dark,2, Half Shaved / Earring,./imgs/115.png
116, Human, Female, Dark,4, Black Lipstick / Tiara / Earring / Clown Eyes Blue,./imgs/116.png
117, Zombie, Male, ,2, Messy Hair / Front Beard Dark,./imgs/117.png
118, Human, Female, Light,2, Black Lipstick / Bandana,./imgs/118.png
119, Human, Male, Medium,2, Cap / Earring,./imgs/119.png
120, Human, Female, Medium,2, Tassle Hat / Big Shades,./imgs/120.png
121, Human, Female, Light,2, Tiara / Purple Lipstick,./imgs/121.png
122, Human, Male, Light,2, Cigarette / Mohawk,./imgs/122.png
123, Human, Female, Medium,2, Wild White Hair / Spots,./imgs/123.png
124, Human, Male, Medium,3, Normal Beard Black / Peak Spike / Earring,./imgs/124.png
125, Human, Female, Light,3, Tassle Hat / Big Shades / Purple Lipstick,./imgs/125.png
126, Human, Male, Albino,4, Cigarette / Earring / Headband / Eye Patch,./imgs/126.png
127, Human, Female, Medium,2, Clown Eyes Green / Stringy Hair,./imgs/127.png
128, Human, Male, Light,4, Police Cap / Chinstrap / Vape / Mole,./imgs/128.png
129, Human, Male, Light,4, Cigarette / Cap Forward / Gold Chain / Horned Rim Glasses,./imgs/129.png
130, Human, Male, Light,1, Mohawk,./imgs/130.png
131, Human, Female, Medium,2, Hot Lipstick / Straight Hair Dark,./imgs/131.png
132, Human, Male, Dark,1, Mohawk Thin,./imgs/132.png
133, Human, Male, Albino,3, Chinstrap / Purple Hair / Pipe,./imgs/133.png
134, Human, Male, Medium,1, Police Cap,./imgs/134.png
135, Human, Male, Light,1, Cap Forward,./imgs/135.png
136, Human, Male, Dark,3, Shadow Beard / Shaved Head / Clown Eyes Green,./imgs/136.png
137, Human, Male, Dark,1, Messy Hair,./imgs/137.png
138, Human, Male, Light,2, Stringy Hair / Horned Rim Glasses,./imgs/138.png
139, Human, Male, Medium,2, Do-rag / Eye Patch,./imgs/139.png
140, Human, Female, Dark,1, Hot Lipstick,./imgs/140.png
141, Human, Male, Dark,3, Chinstrap / Headband / 3D Glasses,./imgs/141.png
142, Human, Male, Light,2, Mohawk / Regular Shades,./imgs/142.png
143, Human, Male, Light,2, Beanie / Horned Rim Glasses,./imgs/143.png
144, Human, Male, Dark,3, Cigarette / Frumpy Hair / Luxurious Beard,./imgs/144.png
145, Human, Male, Light,1, Wild Hair,./imgs/145.png
146, Human, Male, Light,2, Earring / Mohawk,./imgs/146.png
147, Human, Male, Albino,2, Mohawk Thin / Regular Shades,./imgs/147.png
148, Human, Male, Medium,1, Hoodie,./imgs/148.png
149, Human, Male, Light,3, Messy Hair / Luxurious Beard / Big Shades,./imgs/149.png
150, Human, Female, Medium,2, Purple Lipstick / Earring,./imgs/150.png
151, Human, Male, Medium,2, Stringy Hair / VR,./imgs/151.png
152, Human, Male, Light,2, Clown Eyes Green / Mohawk Dark,./imgs/152.png
153, Human, Male, Medium,3, Eye Mask / Cap / Earring,./imgs/153.png
154, Human, Male, Dark,3, Hoodie / Shadow Beard / Earring,./imgs/154.png
155, Human, Male, Dark,2, Clown Nose / Clown Hair Green,./imgs/155.png
156, Human, Male, Dark,2, Cap Forward / Small Shades,./imgs/156.png
157, Human, Male, Medium,2, Cigarette / Cap,./imgs/157.png
158, Human, Male, Light,3, Wild Hair / Goat / Regular Shades,./imgs/158.png
159, Human, Male, Light,2, Stringy Hair / Earring,./imgs/159.png
160, Human, Female, Medium,3, Pigtails / Purple Lipstick / Clown Eyes Blue,./imgs/160.png
161, Human, Female, Dark,2, Hot Lipstick / Frumpy Hair,./imgs/161.png
162, Human, Male, Medium,3, Frumpy Hair / Normal Beard Black / Horned Rim Glasses,./imgs/162.png
163, Human, Male, Dark,2, Shaved Head / Eye Patch,./imgs/163.png
164, Human, Female, Medium,2, Stringy Hair / VR,./imgs/164.png
165, Human, Male, Medium,3, Cigarette / Front Beard Dark / Mohawk Dark,./imgs/165.png
166, Human, Male, Dark,2, Shaved Head / Regular Shades,./imgs/166.png
167, Human, Female, Medium,2, Headband / Hot Lipstick,./imgs/167.png
168, Human, Female, Light,3, Blue Eye Shadow / Silver Chain / Blonde Bob,./imgs/168.png
169, Human, Female, Medium,3, Wild White Hair / Hot Lipstick / Regular Shades,./imgs/169.png
170, Human, Male, Light,3, Peak Spike / Classic Shades / Mole,./imgs/170.png
171, Human, Male, Medium,3, Stringy Hair / Earring / Mole,./imgs/171.png
172, Human, Female, Medium,3, Purple Lipstick / Blonde Bob / 3D Glasses,./imgs/172.png
173, Human, Female, Dark,5, Mole / Pipe / Messy Hair / Hot Lipstick / Clown Eyes Blue,./imgs/173.png
174, Human, Male, Dark,3, Wild Hair / Earring / Horned Rim Glasses,./imgs/174.png
175, Human, Male, Medium,2, Cap / Big Shades,./imgs/175.png
176, Human, Female, Dark,4, Regular Shades / Wild Hair / Purple Lipstick / Earring,./imgs/176.png
177, Human, Male, Dark,2, Bandana / Luxurious Beard,./imgs/177.png
178, Human, Male, Medium,1, Fedora,./imgs/178.png
179, Human, Male, Albino,3, Mohawk Thin / Shadow Beard / Classic Shades,./imgs/179.png
180, Human, Female, Dark,2, Pilot Helmet / Hot Lipstick,./imgs/180.png
181, Human, Male, Dark,1, Mohawk,./imgs/181.png
182, Human, Male, Albino,1, Peak Spike,./imgs/182.png
183, Human, Male, Light,1, Shadow Beard,./imgs/183.png
184, Human, Female, Dark,2, Green Eye Shadow / Blonde Bob,./imgs/184.png
185, Human, Female, Light,2, Wild White Hair / Hot Lipstick,./imgs/185.png
186, Human, Male, Dark,2, Mustache / Crazy Hair,./imgs/186.png
187, Human, Female, Light,1, Straight Hair,./imgs/187.png
188, Human, Male, Dark,3, Peak Spike / Earring / Nerd Glasses,./imgs/188.png
189, Human, Female, Light,2, Mohawk Thin / Purple Lipstick,./imgs/189.png
190, Human, Male, Dark,1, Headband,./imgs/190.png
191, Human, Female, Dark,1, Mohawk,./imgs/191.png
192, Human, Male, Medium,4, Clown Nose / Mohawk Thin / Earring / Nerd Glasses,./imgs/192.png
193, Human, Female, Light,3, Tassle Hat / Green Eye Shadow / Earring,./imgs/193.png
194, Human, Male, Light,2, Wild Hair / Clown Eyes Green,./imgs/194.png
195, Human, Female, Light,2, Straight Hair Blonde / Nerd Glasses,./imgs/195.png
196, Human, Female, Light,3, Tassle Hat / Big Shades / Hot Lipstick,./imgs/196.png
197, Human, Male, Dark,2, Frumpy Hair / Eye Patch,./imgs/197.png
198, Human, Male, Medium,2, Beanie / Luxurious Beard,./imgs/198.png
199, Human, Female, Light,2, Blonde Short / Classic Shades,./imgs/199.png
200, Human, Female, Dark,1, Wild Hair,./imgs/200.png
201, Human, Female, Medium,4, Blue Eye Shadow / Hot Lipstick / Dark Hair / Cigarette,./imgs/201.png
202, Human, Female, Light,3, Headband / Purple Lipstick / Earring,./imgs/202.png
203, Human, Male, Light,3, Front Beard / Messy Hair / Regular Shades,./imgs/203.png
