punk_id,type,gender,skin_tone,attr_count,img_url,avg_price,category,bubble_color
4961,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk4961.png,61.36666666666667,Human Female,#A4031F
4962,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk4962.png,0.6,Human Male,#A4031F
4963,Human,Female,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk4963.png,18.4375,Human Female,#DB9065
4964,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk4964.png,23.0,Human Female,#F2A359
4965,Human,Male,Albino,3,https://www.larvalabs.com/cryptopunks/cryptopunk4965.png,38.9125,Human Male,#F2DC5D
4967,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk4967.png,94.94,Human Male,#A4031F
4968,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk4968.png,17.244,Human Male,#F2A359
4969,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk4969.png,13.31,Human Male,#DB9065
4971,Human,Male,Dark,5,https://www.larvalabs.com/cryptopunks/cryptopunk4971.png,0.395,Human Male,#A4031F
4974,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4974.png,83.7375,Human Male,#DB9065
4975,Human,Male,Albino,3,https://www.larvalabs.com/cryptopunks/cryptopunk4975.png,3.5,Human Male,#F2DC5D
4976,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4976.png,0.755,Human Male,#DB9065
4977,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk4977.png,0.5933333333333334,Human Male,#DB9065
4978,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk4978.png,19.17,Human Male,#A4031F
4979,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk4979.png,90.985,Human Female,#A4031F
4982,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk4982.png,23.99,Human Male,#F2A359
4985,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk4985.png,109.375,Human Female,#A4031F
4986,Human,Male,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk4986.png,12.145,Human Male,#F2DC5D
4988,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4988.png,15.255,Human Male,#DB9065
4989,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk4989.png,1.4249999999999998,Human Male,#A4031F
4990,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk4990.png,0.419,Human Female,#F2A359
4991,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk4991.png,130.0,Human Male,#DB9065
4992,Human,Male,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk4992.png,255.65,Human Male,#F2DC5D
4994,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4994.png,14.554285714285712,Human Male,#DB9065
4995,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk4995.png,33.29333333333333,Human Male,#F2A359
4996,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4996.png,19.47,Human Female,#DB9065
4997,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk4997.png,119.875,Human Female,#DB9065
4998,Human,Male,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk4998.png,37.345,Human Male,#A4031F
4999,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk4999.png,1.5,Human Male,#F2A359
5001,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5001.png,1.2,Human Female,#A4031F
5002,Human,Male,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5002.png,24.63,Human Male,#A4031F
5004,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5004.png,8.01,Human Male,#F2A359
5005,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5005.png,13.745,Human Female,#A4031F
5006,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5006.png,19.99,Human Male,#DB9065
5007,Human,Female,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk5007.png,0.32,Human Female,#F2DC5D
5010,Human,Female,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5010.png,127.99,Human Female,#F2A359
5011,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5011.png,29.2875,Human Female,#A4031F
5013,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5013.png,34.99,Human Male,#F2A359
5014,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5014.png,7.0,Human Female,#DB9065
5017,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5017.png,50.62833333333333,Human Male,#A4031F
5018,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5018.png,24.1075,Human Male,#A4031F
5019,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5019.png,0.27,Human Male,#F2A359
5020,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5020.png,7.198,Human Male,#A4031F
5021,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5021.png,4.59,Human Male,#A4031F
5022,Human,Male,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5022.png,0.9,Human Male,#A4031F
5023,Human,Male,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5023.png,59.285,Human Male,#A4031F
5025,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5025.png,28.0,Human Male,#A4031F
5028,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5028.png,19.898571428571422,Human Male,#A4031F
5029,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5029.png,0.19,Human Male,#F2A359
5033,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5033.png,8.0,Human Male,#F2A359
5037,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5037.png,107.5,Human Male,#F2A359
5038,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5038.png,20.0,Human Female,#DB9065
5039,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5039.png,11.208333333333334,Human Male,#DB9065
5040,Human,Female,Dark,2,https://www.larvalabs.com/cryptopunks/cryptopunk5040.png,21.235,Human Female,#A4031F
5041,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5041.png,16.89,Human Male,#A4031F
5043,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5043.png,73.14999999999999,Human Female,#F2A359
5044,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5044.png,62.0,Human Female,#DB9065
5046,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5046.png,11.775,Human Male,#DB9065
5048,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5048.png,49.75,Human Male,#F2A359
5050,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5050.png,78.16666666666667,Human Male,#F2A359
5051,Human,Male,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5051.png,63.345,Human Male,#DB9065
5052,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5052.png,22.49,Human Female,#F2A359
5054,Human,Female,Dark,1,https://www.larvalabs.com/cryptopunks/cryptopunk5054.png,109.5,Human Female,#A4031F
5055,Human,Female,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5055.png,97.895,Human Female,#DB9065
5056,Human,Male,Albino,4,https://www.larvalabs.com/cryptopunks/cryptopunk5056.png,0.1,Human Male,#F2DC5D
5057,Human,Male,Dark,5,https://www.larvalabs.com/cryptopunks/cryptopunk5057.png,69.0,Human Male,#A4031F
5058,Human,Male,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5058.png,8.7,Human Male,#F2A359
5059,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5059.png,44.0,Human Male,#F2A359
5060,Human,Female,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5060.png,50.5,Human Female,#A4031F
5062,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5062.png,39.16666666666666,Human Male,#DB9065
5063,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5063.png,28.84633333333333,Human Male,#A4031F
5065,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5065.png,17.72,Human Male,#DB9065
5067,Human,Female,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5067.png,53.898,Human Female,#A4031F
5069,Human,Female,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5069.png,92.49,Human Female,#DB9065
5070,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5070.png,18.185714285714287,Human Male,#F2A359
5071,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5071.png,51.9,Human Female,#F2A359
5073,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5073.png,59.125,Human Female,#DB9065
5074,Human,Female,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5074.png,62.25,Human Female,#A4031F
5075,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5075.png,3.4966666666666666,Human Female,#DB9065
5077,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5077.png,20.435,Human Male,#DB9065
5078,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5078.png,2.4133333333333336,Human Male,#DB9065
5080,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5080.png,57.9425,Human Male,#F2A359
5083,Human,Female,Dark,4,https://www.larvalabs.com/cryptopunks/cryptopunk5083.png,40.0,Human Female,#A4031F
5084,Human,Female,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5084.png,0.4,Human Female,#F2A359
5086,Human,Female,Light,2,https://www.larvalabs.com/cryptopunks/cryptopunk5086.png,39.65,Human Female,#F2A359
5087,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5087.png,50.085,Human Male,#DB9065
5088,Human,Male,Albino,3,https://www.larvalabs.com/cryptopunks/cryptopunk5088.png,5.75,Human Male,#F2DC5D
