tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
938,2018-01-01 01:01:15,3765,1843,0.11,2448,Dark,#A4031F
939,2018-01-01 02:01:16,3765,1843,0.14,2492,Medium,#DB9065
940,2018-01-01 04:01:18,2494,1843,0.79,2621,Light,#F2A359
941,2018-01-01 04:01:55,1413,1843,1.15,6740,Albino,#F2DC5D
942,2018-01-01 09:01:16,4964,2132,0.1,8433,Light,#F2A359
943,2018-01-01 21:01:17,5423,1843,0.49,8533,Light,#F2A359
944,2018-01-01 21:01:21,3765,1843,4.0,6965,Non-human,#8DFFCD
945,2018-01-01 21:01:31,1852,1843,0.3,6098,Medium,#DB9065
946,2018-01-01 23:01:29,5092,2494,0.75,6666,Albino,#F2DC5D
947,2018-01-02 18:01:09,3765,376,0.13,2594,Dark,#A4031F
948,2018-01-02 20:01:04,4964,2597,0.12,9651,Light,#F2A359
949,2018-01-02 20:01:43,2236,2597,0.16,9208,Light,#F2A359
950,2018-01-03 03:01:44,2358,4260,0.099,7232,Dark,#A4031F
951,2018-01-03 14:01:32,3786,14,0.1,3897,Medium,#DB9065
952,2018-01-04 01:01:53,3786,3948,0.1,7925,Light,#F2A359
953,2018-01-04 18:01:34,3765,2936,0.13,3675,Light,#F2A359
954,2018-01-07 02:01:16,3765,4155,0.13,2050,Light,#F2A359
955,2018-01-08 12:01:02,1227,5703,0.3,5732,Albino,#F2DC5D
956,2018-01-08 12:01:35,2505,5703,0.09,3073,Light,#F2A359
957,2018-01-09 03:01:36,3765,2236,0.08,3436,Light,#F2A359
958,2018-01-09 04:01:24,3765,4734,0.375,3738,Medium,#DB9065
959,2018-01-10 15:01:45,2505,859,0.09,1586,Light,#F2A359
960,2018-01-10 16:01:22,2505,4734,0.09,1774,Medium,#DB9065
961,2018-01-10 19:01:25,3709,1700,0.19,8325,Dark,#A4031F
962,2018-01-11 01:01:22,4964,4734,0.12,5937,Light,#F2A359
963,2018-01-11 07:01:35,3765,2236,0.08,2553,Medium,#DB9065
964,2018-01-11 21:01:09,3786,5704,1.0,8146,Medium,#DB9065
965,2018-01-11 21:01:30,3765,2236,0.08,5023,Dark,#A4031F
966,2018-01-12 04:01:31,3765,2236,0.06,3241,Medium,#DB9065
967,2018-01-12 10:01:18,3765,2068,0.08,3132,Albino,#F2DC5D
968,2018-01-12 17:01:48,3765,1885,0.15,2655,Medium,#DB9065
969,2018-01-13 15:01:38,1956,5831,0.1,3693,Light,#F2A359
970,2018-01-13 17:01:10,3765,5831,0.15,4176,Medium,#DB9065
971,2018-01-13 18:01:56,3709,307,0.22,1027,Dark,#A4031F
972,2018-01-13 18:01:57,3724,307,0.2,1507,Dark,#A4031F
973,2018-01-13 20:01:03,3765,1966,0.1,3340,Medium,#DB9065
974,2018-01-13 21:01:55,3786,4225,0.1,1387,Light,#F2A359
975,2018-01-14 03:01:12,4964,5806,0.1,1590,Medium,#DB9065
976,2018-01-14 04:01:01,3709,5806,0.195,7171,Light,#F2A359
977,2018-01-14 04:01:15,4964,5806,0.1,1631,Albino,#F2DC5D
978,2018-01-14 04:01:23,3765,5806,0.09,3440,Light,#F2A359
979,2018-01-14 04:01:39,2936,5806,0.18,3675,Light,#F2A359
980,2018-01-14 04:01:46,4964,5806,0.1,9669,Light,#F2A359
981,2018-01-14 04:01:58,3709,5806,0.25,5240,Dark,#A4031F
982,2018-01-14 05:01:04,4964,5806,0.1,2106,Dark,#A4031F
983,2018-01-14 05:01:26,4964,5315,0.25,9512,Light,#F2A359
984,2018-01-14 05:01:37,1452,5806,0.5,9086,Light,#F2A359
985,2018-01-14 05:01:46,5769,5806,0.5,5158,Albino,#F2DC5D
986,2018-01-14 05:01:50,3765,5315,0.14,1781,Light,#F2A359
987,2018-01-14 06:01:08,3765,1942,0.15,1116,Dark,#A4031F
988,2018-01-14 06:01:15,1956,1942,0.08,3796,Medium,#DB9065
989,2018-01-14 12:01:17,2494,5315,0.19,6500,Light,#F2A359
990,2018-01-14 13:01:45,4964,191,0.1,8032,Medium,#DB9065
991,2018-01-14 21:01:30,4964,5703,0.1,3504,Medium,#DB9065
992,2018-01-14 22:01:14,4964,5703,0.1,9880,Light,#F2A359
993,2018-01-14 22:01:43,4964,5703,0.1,3380,Albino,#F2DC5D
994,2018-01-14 23:01:39,4964,2996,0.1,2343,Dark,#A4031F
995,2018-01-14 23:01:52,2494,3110,3.99,8498,Non-human,#8DFFCD
996,2018-01-15 02:01:23,2505,1081,0.1,2856,Medium,#DB9065
