trader_id,address,tx_involved
0,\x1bcd9f67f027fa32705f9b38bd120caf7a1d375d,[15462]
9,\xabdfa75a36c274bddacdb412bee86044b5a658e9,[16666]
12,\xeb8ffc68f50e5d4b640090e6e4d540057d3a8af7,"[16704, 16644, 16773, 16655, 16697]"
13,\x76d76080e5fd807ae15a002f2d44edb2909ae569,[16081]
17,\x0a267cf51ef038fc00e71801f5a524aec06e4f07,[16532]
19,\xb6cf25f5cf8a1e1727d988facdd47f1dfc492caf,[15857]
28,\xf49eb4f047ae0fefafa72a0546fb15a9cce125b4,[16665]
35,\xf36972bbff0bb63dbc8f2c8a93625647b32e024b,[15767]
44,\x94c8249a0cf419e5dd16526fda745c38f3a0ebea,[16672]
46,\xc3c0465798ce9071513e21ef244df6ad5f1b2eab,[15664]
48,\x304aa04d546750b0af651ecdbaf1aa1ca57e0b58,[15995]
55,\x8dbbca57ea56290efa14d835bbfd34faf1d89753,"[16300, 16350]"
57,\x0722692deb9c7b0b910c75e7d07c25a0ce920fe2,[16765]
59,\xe455ae1952bc4ba762493c8262030f32a4a9075b,"[15569, 16410]"
65,\x3df7ebfefe2876e98c0b83e11c31f2bb1987612f,"[16042, 16013]"
69,\x321c096218de47c09fc2b097afeaf348b4096629,"[15682, 15429, 15432, 15690, 15436, 15759]"
70,\xbf8afa76bcc2f7fee2f3b358571f426a698e5edd,"[15576, 15561, 15577, 16732]"
72,\xc69ae428f6049e78d445f053d2c1df879c59b34c,"[15912, 15890]"
88,\x527b696dffb8064cb28fdddd9490c9ded35d1ba0,[16744]
97,\x729715f4f92e29ca175da2021878bf1ae029fc05,[15431]
100,\xcc6c1d21e8474b3578e69eb036c712ab08ffdfbb,"[15775, 16277, 16263]"
111,\x800366f5cb71966d5e10fa4ee0222d2395588d2a,"[16232, 16231]"
116,\xa6e2e910515e6cf485462eeb6e454df33c60cb0e,"[15570, 16258, 15572]"
117,\xcc52d4132a0fd28a6e2e820d0c8e774fe53499f0,[15679]
120,\x0330414bbf9491445c102a2a8a14adb9b6a25384,"[15809, 15603]"
123,\xf6f0e491c1aa0dea101eaec582b6ac72de98a01e,[16818]
125,\xe50a2256b8442d77955a65cc5088f5a0619245d0,[16235]
128,\xe36752c781bb2dd3f39a861120a34c088760216b,[16312]
130,\xc87c5a6702abd6eb76130cd5ac4d1a837fe9d7f7,[16788]
132,\x6afdf83501af209d2455e49ed9179c209852a701,"[16533, 16343]"
133,\x8376c688003a23472ebed4cb76b05fead6a145e6,[15794]
138,\xabbc7e8cb731c39d6f92676b833e4a6bbed1ba47,[16390]
140,\xb4bb4156e5e6ca5d81041f616c27dffb253b7845,"[16775, 15671, 15559]"
143,\x668768b0db25b9c5dc81e2e2d6a7c2a69e249271,"[15525, 16750]"
145,\x831ce339ab1e5adc164af0b06f11d99581f5ced4,[16749]
153,\xbf9f5aeb74b0b8e9fb59054d5d2f065cf7cb64f0,[15776]
154,\x42674586009328dcc4162a1192fedd1116ca6d54,"[16217, 15655]"
158,\x496d950a7743311f362bc724a7e14d64c10f8259,[15999]
161,\xb5e6acc6cbb5d712a96fcc7a8fe25a69f10ecf4c,"[15840, 15778, 15810, 15785, 16073, 16044, 15726, 15900]"
171,\x85b2721be0339a6a8a0b197ec8064ac700a971da,"[15412, 15453]"
173,\xb20e90be5e1196a2a38b9a0164ab6545f00b53ec,[15978]
179,\x50053a675ed47c3c43b9535a1deab5f51a0a9a65,[15820]
189,\x39fc4cdaa0e79efe7687822f1c0bacc87e1deede,[15808]
200,\xfdff5e5d5bc0bc3d4fc9c78519cc4fb91e2faa51,"[16368, 16369, 16449]"
201,\x2e2ce4401995288d623bdbc33f04916707b743c9,[15977]
212,\xe48ab528f2b51fa68e22d57069cffafcd4aa2b6c,"[16674, 16723, 16799]"
214,\xace72fdb7d4ac44b15c4d8d6bd6f3393c66f4b44,"[15800, 16501]"
216,\xb12f1f37767d19d63ca5a9889da95cb396c957eb,[15619]
217,\xc876b346d50c4199458ee0e3754883f62fe3a5b0,"[16792, 16798]"
221,\x5845255bf55c87626c14e9b64781621a72f38dab,"[16634, 16630, 16631]"
225,\xdb1e7b59c5e59f7db2504b8e83fefe14301b37b9,[16124]
227,\x60e23da7a0b229902da892ddd6a839382eab04ca,"[16256, 16141, 15501, 16527, 16148, 15510, 16285, 16798, 15907, 16808, 16684, 16813, 16310, 16822, 16187, 16060, 15812, 16070, 15561, 16202, 16075, 15827, 16597, 15581, 15839, 16612, 15597, 16501, 16762]"
231,\x6611fe71c233e4e7510b2795c242c9a57790b376,"[15616, 15618, 16674, 15497, 15660, 15534, 16818, 16628, 15606, 15511, 16632, 16761]"
234,\xd76aa530b8c1f0039971eca13ca1850047271af0,[16123]
235,\x24255de97fcdc93bc876f892e8ece4262b40bac2,[16242]
243,\x7cc95c19422be9ed53b4cdca6dccfe6ec9e05c6f,[16648]
248,\xd71d40c047a2f1ea5b523ddeac03a9024d82f618,[15871]
251,\xc4a72063c03e77893b2f0181ffd22b34cab170fd,[16447]
258,\x59d20c3d2e5d24a0e649c507c5f34175e5c3e727,[16703]
261,\xcb8a2e4d7465fa2a5c434a4e0dae585c59f4c825,[16041]
262,\x745be2a66800aae45b720ef3cc1e6a49b0e14699,[16012]
269,\x53887f0dee06c6459bc928f9f39beccac3947325,[15537]
278,\x5c7d3c121ae854a9b98601e9a05408bf1bbc9924,[15992]
279,\xd2498b4dc8402789736f7c94caf969ea65badfa2,[15937]
280,\xfda9b8538b0e7b5d6b4843aa936e0532ddf9b877,[15764]
291,\x7642a378fb02a6cca0e47f2114384d84604fa6a0,[16735]
294,\x42eb89cb1714a93de52601cd566bf1710941470b,[15911]
306,\xa8d31c4546a782085d81a1ec1598054400d7a2ae,"[16673, 16451, 16358, 16391, 16361, 16362, 15505, 16414, 16766, 16767]"
310,\xcd9813be74ff49ef3d1f6c86c20b6ca67d5672fc,[15975]
315,\xeedcb5c3c42d04711148093ea946ad8e77b639b1,[16744]
316,\x8ee6a83c124018ef62721ae39ad635fe71c96952,"[16184, 16419]"
330,\xc9de4bcf2d3c44101d7004dcf138c935a264897a,"[16689, 16690]"
334,\x0b88fd87884080bd6d93d341fcca0eea76b03e75,[16590]
344,\xbe9998830c38910ef83e85eb33c90dd301d5516e,[16450]
346,\xc3ab77ca48fb64b968db398e5ed6543141cd38ce,[16794]
356,\xd4d1567cb96c2ff50d326c2fd43c5b14ed77a749,[15445]
371,\x196a3dc8446920cef0f0d1f6bf7ba5b40702c79f,[15971]
377,\xf5bce02e24313618ed2e8318dee2b86bf53cd53c,[15848]
380,\x2ba7f9d560bfbeb91e6290c49d05550385b311e3,"[15485, 15486]"
384,\xcb9cadd85c510ff5a4fb2d2bb6fb4b74ff3aee34,[16486]
392,\x9b4306e7b6ede125b5e8cac309ffb58af5eed6f0,"[15784, 16052]"
422,\xad3dbf17e7460352adbb528420aa027cb2409597,[15534]
451,\x22d1a5f9b2a8773135682920b1f8f764d0d6e7f5,"[15801, 15803, 16342]"
454,\xaad9cbde2bd63099d80cdec9c194586b57dd3f94,[16130]
463,\x25d7472c234111bebb50b8a987b6316629fc6bf6,"[16346, 16276]"
477,\x00a25c455636cc01bffcb717db900a6d4c767a8a,[16420]
492,\xc6363095bb1f4787efcc0865953100340c249b79,[15480]
494,\x45371afde3e33b1eeb3c8974e9e6b5b1e2a6a611,[15795]
495,\x2891a448d93c6bcf50a80931062d9028f8c6e913,"[15505, 16268, 16413, 15566]"
503,\xa0d679413c0b46120cdfa3ceaed6d2f6bc23a589,[15474]
507,\xb89c2f6bb674bd6aace2a1e274d40e6dc4775b15,[16607]
510,\xfd7f140e6961fada3b3aac885a94401c88f8826e,[16617]
512,\x9674ede5eb609f9483dd1682f2160ec45105250d,[16023]
535,\x7c04786f04c522ca664bb8b6804e0d182eec505f,[16323]
538,\x7a01064728c79b52605d41edb5009b3b4c046d9a,[15504]
542,\x3042887f97821ec36be64d2677efd2e943a4cb0f,[16487]
544,\x6fb3ae4ecf5a42788249e95b931913a4fc3d488c,[16763]
551,\xfed93f0ad93ff25993274d8245a2bb2133de38c0,"[16433, 16431]"
554,\x7107fccf8a5f826c1d380e90ce2070f430dd270d,"[16282, 16117]"
555,\x87d3ee8cc75c3916e3b6f56e307aadcd3afeff68,[16716]
560,\x675e725cbf2c1cbc3dc5b8bced91631f3463d517,"[16256, 16450, 16187, 16039]"
568,\x6f35b0cfc58eb1e21eef8a439bbb0ce4c929d32a,[16605]
577,\xa5058b787d43c11dfc6ae61b1543eb7d73b8df1b,[15461]
585,\x21f1786b80a34ca19c829a5cb369f6dc81f849d0,[16637]
587,\x440631dbdc0753e45241569c6d63552eac8e3130,[15775]
590,\x080ea8d13afd027c544c5fafa260d8eea60fffe7,[16350]
591,\xd86a41bdb10f5b010feaad9a7811414e3580f2b9,"[15600, 15960]"
594,\x9dbe56e65961146525d796bdc008225bd5915a4f,[16468]
598,\xe744d23107c9c98df5311ff8c1c8637ec3ecf9f3,[16613]
599,\x650b940bce78e2f4e09a0482937e850e0afbeef2,[16341]
607,\x3689df917b622d8c35e01577bde8198b7e79b83d,"[16314, 15877, 15902]"
621,\x5c89b091b8678dc295c9d9c63227658b99d7d1a5,[16722]
622,\x3e8faf5b3a4ef575a329f8c976ff27f286ab2643,[15512]
623,\x505d79c7379ee65b6c2d6d18a0e7ab901b00756c,"[16523, 16524, 16525, 16526, 16279, 16280, 15658, 15659, 15661, 16302, 15662, 15663, 15664, 15665, 15666, 15667, 15668, 15669, 15553, 15554, 15942, 15943, 15944, 15945, 15946, 15578, 15579, 15580]"
627,\xd985bd504d737c6533335dfa4ad74e571bb3bd88,"[15938, 16482]"
629,\x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,"[16048, 15772]"
630,\x470f0ee51c605e4567bc0279353d9e2ef9428004,[15810]
635,\x68fb8be9256ff1d7259a67333188c1a96a56adec,"[16748, 16815, 16603, 16316, 15679]"
647,\xac7ebc289354503e1ddda06f30e75ca688382051,[16567]
648,\x11ad632cf28ee4559bddf3d4dc2019e78eb7ec3c,[15556]
651,\x97e9a4f24a962f68dc2c34a493811cc215e01772,[16518]
652,\x672a04e11366c7d54f272142cc04e199a830770f,[15974]
654,\xfe8d12bb904e686843e02f7ebc969651a80accde,[15503]
