tx_id,date_time,from,to,eth_price,punk_id,punk_skin_tone,punk_skin_tone_color
4940,2021-01-01 11:01:00,2002,213,88.55,9368,Non-human,#8DFFCD
4941,2021-01-01 17:01:49,1458,5799,11.44,4444,Dark,#A4031F
4942,2021-01-02 02:01:42,4296,43,5.47,9340,Light,#F2A359
4943,2021-01-02 17:01:12,2023,4125,5.45,4861,Light,#F2A359
4944,2021-01-02 18:01:37,2328,1289,5.3,9683,Dark,#A4031F
4945,2021-01-02 21:01:02,1938,4844,4.9,1743,Light,#F2A359
4946,2021-01-02 21:01:18,2317,4844,4.97,3410,Light,#F2A359
4947,2021-01-03 08:01:44,1289,414,12.9,9683,Dark,#A4031F
4948,2021-01-03 11:01:15,2602,5441,4.99,5544,Dark,#A4031F
4949,2021-01-03 17:01:45,3438,1938,7.5,4452,Dark,#A4031F
4950,2021-01-03 18:01:55,5249,3887,5.5,5287,Medium,#DB9065
4951,2021-01-04 16:01:28,1946,1170,4.69,8751,Dark,#A4031F
4952,2021-01-04 23:01:25,5100,150,7.5,9167,Dark,#A4031F
4953,2021-01-04 23:01:37,5100,371,4.99,7752,Light,#F2A359
4954,2021-01-04 23:01:54,5100,300,7.89,7501,Albino,#F2DC5D
4955,2021-01-04 23:01:55,5100,4195,12.5,8639,Medium,#DB9065
4956,2021-01-05 00:01:01,1005,3984,4.98,5198,Dark,#A4031F
4957,2021-01-05 00:01:59,5100,3887,8.5,6612,Dark,#A4031F
4958,2021-01-05 11:01:38,5100,3258,18.0,7888,Light,#F2A359
4959,2021-01-05 11:01:47,5100,3968,8.5,8767,Light,#F2A359
4960,2021-01-05 12:01:37,4870,4118,5.04,9720,Dark,#A4031F
4961,2021-01-05 13:01:41,809,676,6.5,2928,Light,#F2A359
4962,2021-01-05 15:01:40,5508,1681,4.6,8436,Dark,#A4031F
4963,2021-01-05 17:01:07,5249,4646,4.8,5226,Light,#F2A359
4964,2021-01-05 19:01:06,4870,2602,4.61,3418,Medium,#DB9065
4965,2021-01-05 19:01:25,5249,5209,4.65,5065,Medium,#DB9065
4966,2021-01-05 21:01:06,4545,3226,4.99,9675,Medium,#DB9065
4967,2021-01-05 22:01:07,4809,150,6.25,8635,Medium,#DB9065
4968,2021-01-05 23:01:16,1565,1364,5.3,2156,Light,#F2A359
4969,2021-01-06 05:01:02,5413,5880,5.0,9117,Light,#F2A359
4970,2021-01-06 05:01:56,1170,5880,5.0,8751,Dark,#A4031F
4971,2021-01-06 08:01:13,5100,322,10.0,9974,Medium,#DB9065
4972,2021-01-06 15:01:20,3728,5880,6.0,3914,Dark,#A4031F
4973,2021-01-06 18:01:31,4870,4844,4.99,9448,Dark,#A4031F
4974,2021-01-06 18:01:31,5232,4844,4.65,5733,Dark,#A4031F
4975,2021-01-06 18:01:31,1946,4844,4.59,9140,Dark,#A4031F
4976,2021-01-06 18:01:31,2602,4844,4.89,3418,Medium,#DB9065
4977,2021-01-06 19:01:09,3728,2173,5.0,5078,Medium,#DB9065
4978,2021-01-06 21:01:13,5100,5880,49.99,7846,Light,#F2A359
4979,2021-01-06 21:01:24,1392,3258,25.0,168,Light,#F2A359
4980,2021-01-06 21:01:50,5249,2259,4.65,6090,Light,#F2A359
4981,2021-01-06 22:01:22,5100,3217,5.1,6124,Light,#F2A359
4982,2021-01-07 01:01:33,371,787,28.0,7563,Medium,#DB9065
4983,2021-01-07 03:01:39,4982,414,7.65,6788,Dark,#A4031F
4984,2021-01-07 04:01:11,4939,5880,9.99,5913,Albino,#F2DC5D
4985,2021-01-07 04:01:16,4982,5880,7.65,4633,Dark,#A4031F
4986,2021-01-07 04:01:51,4939,5880,9.99,1127,Dark,#A4031F
