,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2468,2021-02-16,3201,4466,13.9,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2469,2021-02-21,4466,6083,24.0,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2470,2021-04-10,6083,2682,35.0,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2471,2021-08-01,2682,4123,61.0,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2472,2021-10-29,283,1002,129.5,4436,Human,Male,Medium,3,"['Bandana', 'Luxurious Beard', 'Regular Shades']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk4436.png
2473,2018-01-19,1303,5126,0.14,1575,Human,Male,Medium,3,"['Goat', 'VR', 'Shaved Head']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1575.png
2474,2020-09-28,5749,3735,6.0,1575,Human,Male,Medium,3,"['Goat', 'VR', 'Shaved Head']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1575.png
2475,2021-08-10,3199,6031,69.47,1575,Human,Male,Medium,3,"['Goat', 'VR', 'Shaved Head']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1575.png
2476,2018-01-19,1303,15,0.11,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
2477,2021-05-24,15,1474,16.9,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
2478,2021-07-07,1474,5623,18.9,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
2479,2022-03-11,5552,2478,74.0,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
