,neg,neu,pos,neg_count,neu_count,pos_count
2017,0.11627906976744186,0.6511627906976745,0.23255813953488372,5,28,10
2018,0.09405940594059406,0.5544554455445545,0.35148514851485146,19,112,71
2019,0.18032786885245902,0.32786885245901637,0.4918032786885246,55,100,150
2020,0.15367727771679474,0.2502744237102086,0.5960482985729967,140,228,543
2021,0.1316607460035524,0.23531464095407256,0.633024613042375,4151,7419,19958
2022,0.1487782553326966,0.31200254695956703,0.5392191977077364,7477,15680,27099
